"","AREA TERRITORIAL","CODIGO CENTRO","TIPO DE CENTRO","CENTRO","DOMICILIO","MUNICIPIO","DISTRITO MUNICIPAL","COD. POSTAL","TELEFONO","FAX","TITULARIDAD","NA","NA","ADDRESS","lon","lat","geoAddress"
"2","Madrid-Norte","28041354","IES","AGORA","Calle Manuel De Falla, 54-56 ","Alcobendas","-","28100","916515700","916548684","Público",NA,NA,"Calle Manuel De Falla, 54-56  Alcobendas",-3.6410655,40.5528691,"calle de manuel de falla, 54, 28100 alcobendas, madrid, spain"
"3","Madrid-Este","28042590","IES","ALBÉNIZ","Calle Gardenia, S/n ","Alcalá de Henares","-","28803","918816812","918819840","Público",NA,NA,"Calle Gardenia, S/n  Alcalá de Henares",-3.3728058,40.4745082,"calle gardenia, 28803 alcalá de henares, madrid, spain"
"4","Madrid-Norte","28040660","IES","ALDEBARAN","Avenida De Valdelaparra, 90 ","Alcobendas","-","28108","916618085","916618238","Público",NA,NA,"Avenida De Valdelaparra, 90  Alcobendas",-3.661164,40.543375,"av. de valdelaparra, 90, 28100 alcobendas, madrid, spain"
"5","Madrid-Este","28035305","IES","ALONSO QUIJANO","Paseo De Las Moreras, 1 ","Alcalá de Henares","-","28803","918821411","918817229","Público",NA,NA,"Paseo De Las Moreras, 1  Alcalá de Henares",-3.3657896,40.4758092,"calle de ntra. sra. de la esperanza, 1, 28803 alcalá de henares, madrid, spain"
"6","Madrid-Norte","28036991","IES","ANGEL CORELLA","Calle Del Pradillo, 3 ","Colmenar Viejo","-","28770","918455650","918463022","Público",NA,NA,"Calle Del Pradillo, 3  Colmenar Viejo",-3.7521982,40.6569242,"calle del pradillo, 3, 28770 colmenar viejo, madrid, spain"
"7","Madrid-Sur","28042085","IES","ANTONIO GALA","Calle Hermanos Grimm, 3 ","Móstoles","-","28935","916145263","916184304","Público",NA,NA,"Calle Hermanos Grimm, 3  Móstoles",-3.8832102,40.3221797,"calle hermanos grimm, 3, 28935 móstoles, madrid, spain"
"8","Madrid-Este","28041391","IES","ANTONIO GAUDI","Calle Del Júcar, 1 ","Coslada","-","28823","916733314","916733427","Público",NA,NA,"Calle Del Júcar, 1  Coslada",-3.5387388,40.4236434,"calle del júcar, 1, 28823 coslada, madrid, spain"
"9","Madrid-Oeste","28058640","IES","ARQUITECTO VENTURA RODRIGUEZ","Calle De Severo Ochoa, 4 ","Boadilla del Monte","-","28660","916336271","916339594","Público",NA,NA,"Calle De Severo Ochoa, 4  Boadilla del Monte",-3.8917553,40.411422,"calle severo ochoa, 4, 28660 boadilla del monte, madrid, spain"
"10","Madrid-Norte","28058639","IES","ATENEA","Plaza Santiago De Chuco, 1 ","San Sebastián de los Reyes","-","28702","916590934","91-6513469","Público",NA,NA,"Plaza Santiago De Chuco, 1  San Sebastián de los Reyes",-3.6265445,40.5588398,"plaza de santiago de chuco, 1, 28702 san sebastián de los reyes, madrid, spain"
"11","Madrid-Capital","28020201","IES","BARRIO SIMANCAS","Calle De Zaratán, 6 ","Madrid","San Blas-Canillejas","28037","913041570","917545083","Público",NA,NA,"Calle De Zaratán, 6  Madrid",-3.6253884,40.429275,"calle zaratán, 6, 28037 madrid, spain"
"12","Madrid-Sur","28067628","IES","CALDERON DE LA BARCA","Calle Francisco Bores, 3 ","Pinto","-","28320","916706645","916706938","Público",NA,NA,"Calle Francisco Bores, 3  Pinto",-3.6962622,40.2560805,"calle francisco bores, 3, 28320 pinto, madrid, spain"
"13","Madrid-Oeste","28044306","IES","CARMEN CONDE","Avenida De Atenas, 45bis ","Rozas de Madrid, Las","-","28232","916319487","916317252","Público",NA,NA,"Avenida De Atenas, 45bis  Rozas de Madrid, Las",-3.9148701,40.5265075,"av. de atenas, 45 bis, 28232 las rozas, madrid, spain"
"14","Madrid-Oeste","28022207","IES","CARMEN MARTÍN GAITE","Avenida Del Marqués De Santillana, 14 ","Moralzarzal","-","28411","918578517","918578929","Público",NA,NA,"Avenida Del Marqués De Santillana, 14  Moralzarzal",-3.974248,40.6742336,"calle marqués de santillana, 14, 28411 moralzarzal, madrid, spain"
"15","Madrid-Sur","28038884","IES","CLARA CAMPOAMOR","Avenida De Alcorcón, 1 ","Móstoles","-","28936","916462125","916470309","Público",NA,NA,"Avenida De Alcorcón, 1  Móstoles",-3.8534846,40.3303111,"av. de alcorcón, 1, 28936 móstoles, madrid, spain"
"16","Madrid-Capital","28030186","IES","DAMASO ALONSO","Calle De Alfredo Marquerie, 21 ","Madrid","Fuencarral-El Pardo","28034","917388675","917390683","Público",NA,NA,"Calle De Alfredo Marquerie, 21  Madrid",-3.700766,40.487208,"calle alfredo marquerie, 21, 28034 madrid, spain"
"17","Madrid-Oeste","28040714","IES","DE GUADARRAMA","Carretera Del Escorial, S/n ","Guadarrama","-","28440","918542212","918547122","Público",NA,NA,"Carretera Del Escorial, S/n  Guadarrama",-4.0861388,40.5784161,"m-505, madrid, spain"
"18","Madrid-Este","28044744","IES","DOCTOR MARAÑON","Calle Alejo Carpentier, 1 ","Alcalá de Henares","-","28806","918788137","918826047","Público",NA,NA,"Calle Alejo Carpentier, 1  Alcalá de Henares",-3.3767973,40.4936689,"calle alejo carpentier, 1, 28806 alcalá de henares, madrid, spain"
"19","Madrid-Este","28044756","IES","DUQUE DE RIVAS","Paseo De La Chopera, 64 ","Rivas-Vaciamadrid","-","28523","916665259","916668388","Público",NA,NA,"Paseo De La Chopera, 64  Rivas-Vaciamadrid",-3.5338768,40.3676387,"paseo de la chopera, 64, 28523 rivas-vaciamadrid, madrid, spain"
"20","Madrid-Este","28001769","IES","EL CARRASCAL","Avenida Del Instituto, S/n ","Arganda del Rey","-","28500","918760082","918701851","Público",NA,NA,"Avenida Del Instituto, S/n  Arganda del Rey",-3.4420946,40.2944703,"av. del instituto, 28500 arganda del rey, madrid, spain"
"21","Madrid-Capital","28013899","IES","EL ESPINILLO ","Calle De La Unanimidad, 15 ","Madrid","Villaverde","28041","917239150","917239151","Público",NA,NA,"Calle De La Unanimidad, 15  Madrid",-3.6881238,40.3616082,"calle de la unanimidad, 15, 28041 madrid, spain"
"22","Madrid-Sur","28044720","IES","EL OLIVO","Calle Felipe Ii, 11 ","Parla","-","28982","916055311","916055310","Público",NA,NA,"Calle Felipe Ii, 11  Parla",-3.7616095,40.2366053,"calle de felipe ii, 11, 28982 parla, madrid, spain"
"23","Madrid-Sur","28078547","IES","ELISA SORIANO FISCHER","Avenida Avda. De Méjico, 1 ","Getafe","-","28907","639112417","-","Público",NA,NA,"Avenida Avda. De Méjico, 1  Getafe",-3.74312,40.32039,"av. de mexico, 1, 28907 getafe, madrid, spain"
"24","Madrid-Capital","28020958","IES","EMPERATRIZ MARIA DE AUSTRIA","Calle De Antonio De Leyva, 84 ","Madrid","Carabanchel","28019","914692425","915650794","Público",NA,NA,"Calle De Antonio De Leyva, 84  Madrid",-3.7174109,40.3875277,"calle de antonio de leyva, 84, 28019 madrid, spain"
"25","Madrid-Sur","28042668","IES","EUROPA","Avenida De Alcorcón, 9 ","Móstoles","-","28936","916468267","916467283","Público",NA,NA,"Avenida De Alcorcón, 9  Móstoles",-3.8504195,40.3274891,"av. de alcorcón, 9, 28936 móstoles, madrid, spain"
"26","Madrid-Norte","28000753","IES","FRANCISCO GINER DE LOS RIOS","Carretera De Barajas, 1,2 ","Alcobendas","-","28108","916525466","916511164","Público",NA,NA,"Carretera De Barajas, 1,2  Alcobendas",-3.62588,40.53981,"carretera de barajas, 1, 28108 alcobendas, madrid, spain"
"27","Madrid-Sur","28062035","IES","FRANCISCO UMBRAL","Avenida De La Hispanidad, S/n ","Ciempozuelos","-","28350","918092810","918092927","Público",NA,NA,"Avenida De La Hispanidad, S/n  Ciempozuelos",-3.6272433,40.1630135,"av. de la hispanidad, 28350 ciempozuelos, madrid, spain"
